problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsgaii,nsgaii,1,1.4100856194369393,1.4100856194369393,1.5728758057444823,1.5728758057444823,-0.16279018630754294,-0.16279018630754294,1,0,0,0,1,0,1.0,1.0,False
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_farthest,nsga2-farthest,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_farthest,nsga2-farthest,1,1.4100856194369393,1.4100856194369393,1.5326250730343165,1.5326250730343165,-0.12253945359737717,-0.12253945359737717,1,0,0,0,1,0,1.0,1.0,False
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,gces_nogeo,gces-noGeo,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,gces_nogeo,gces-noGeo,1,1.4100856194369393,1.4100856194369393,1.8651163165432494,1.8651163165432494,-0.45503069710631006,-0.45503069710631006,1,0,0,0,1,0,1.0,1.0,False
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,gces,gces,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,gces,gces,1,1.4100856194369393,1.4100856194369393,1.8651163165432494,1.8651163165432494,-0.45503069710631006,-0.45503069710631006,1,0,0,0,1,0,1.0,1.0,False
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_hvfarthest,nsga2-hvfarthest,1,1.4100856194369393,1.4100856194369393,1.4100856194369393,1.4100856194369393,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_refcover_farthest,nsga2-refcover-farthest,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,1.0,False
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_refcover_farthest,nsga2-refcover-farthest,1,1.4100856194369393,1.4100856194369393,1.8065894644836524,1.8065894644836524,-0.3965038450467131,-0.3965038450467131,1,0,0,0,1,0,1.0,1.0,False
